Original Path
Q[6]{-1.70163, -2.00451, -0.70152, -3.24458, -0.910453, 0.620914}
Q[6]{-1.70653, -2.01072, -0.706142, -3.23599, -0.929701, 0.576512}
Q[6]{-1.71144, -2.01693, -0.710765, -3.22739, -0.948949, 0.532109}
Q[6]{-1.71634, -2.02314, -0.715387, -3.21879, -0.968197, 0.487706}
Q[6]{-1.72124, -2.02935, -0.720009, -3.21019, -0.987445, 0.443304}
Q[6]{-1.72615, -2.03557, -0.724632, -3.20159, -1.00669, 0.398901}
Q[6]{-1.73105, -2.04178, -0.729254, -3.193, -1.02594, 0.354498}
Q[6]{-1.73596, -2.04799, -0.733876, -3.1844, -1.04519, 0.310096}
Q[6]{-1.74086, -2.0542, -0.738499, -3.1758, -1.06444, 0.265693}
Q[6]{-1.74576, -2.06041, -0.743121, -3.1672, -1.08369, 0.22129}
Q[6]{-1.75067, -2.06662, -0.747744, -3.1586, -1.10293, 0.176888}
Q[6]{-1.75557, -2.07283, -0.752366, -3.15001, -1.12218, 0.132485}
Q[6]{-1.75787, -2.03723, -0.77353, -3.1421, -1.14844, 0.137667}
Q[6]{-1.76318, -2.04409, -0.778008, -3.13309, -1.16727, 0.0932957}
Q[6]{-1.76849, -2.05096, -0.782485, -3.12407, -1.1861, 0.0489245}
Q[6]{-1.7738, -2.05783, -0.786962, -3.11505, -1.20493, 0.00455327}
Q[6]{-1.7791, -2.0647, -0.791439, -3.10604, -1.22376, -0.039818}
Q[6]{-1.81976, -2.06385, -0.793547, -3.12273, -1.22685, -0.0633415}
Q[6]{-1.83473, -2.08736, -0.793636, -3.08311, -1.23774, -0.0692521}
Q[6]{-1.8497, -2.11086, -0.793725, -3.04349, -1.24864, -0.0751626}
Q[6]{-1.85525, -2.11958, -0.793758, -3.02879, -1.25268, -0.0773554}
Q[6]{-1.84079, -2.11796, -0.796121, -3.06363, -1.2548, -0.109977}
Q[6]{-1.84242, -2.15598, -0.804848, -3.05973, -1.26574, -0.138971}
Q[6]{-1.85036, -2.18829, -0.808811, -3.03764, -1.27938, -0.165492}
Q[6]{-1.84792, -2.19225, -0.83794, -3.07064, -1.27204, -0.18756}
Q[6]{-1.832, -2.19735, -0.832311, -3.11527, -1.28526, -0.19225}
Q[6]{-1.83824, -2.20338, -0.8383, -3.10749, -1.30519, -0.236192}
Q[6]{-1.83508, -2.20872, -0.818441, -3.1402, -1.33669, -0.233935}
Q[6]{-1.8406, -2.21301, -0.823178, -3.13183, -1.35703, -0.278034}
Q[6]{-1.84613, -2.21729, -0.827915, -3.12345, -1.37737, -0.322133}
Q[6]{-1.85165, -2.22158, -0.832652, -3.11507, -1.39771, -0.366232}
Q[6]{-1.85718, -2.22587, -0.837389, -3.10669, -1.41805, -0.41033}
Q[6]{-1.8627, -2.23016, -0.842126, -3.09831, -1.43839, -0.454429}
Q[6]{-1.86822, -2.23444, -0.846863, -3.08993, -1.45873, -0.498528}
Q[6]{-1.87375, -2.23873, -0.8516, -3.08156, -1.47907, -0.542627}
Q[6]{-1.87927, -2.24302, -0.856337, -3.07318, -1.49941, -0.586726}
Q[6]{-1.8848, -2.2473, -0.861074, -3.0648, -1.51976, -0.630825}
Q[6]{-1.89032, -2.25159, -0.865811, -3.05642, -1.5401, -0.674924}
Q[6]{-1.89585, -2.25588, -0.870548, -3.04804, -1.56044, -0.719022}
Q[6]{-1.90137, -2.26017, -0.875285, -3.03967, -1.58078, -0.763121}
Q[6]{-1.9069, -2.26445, -0.880022, -3.03129, -1.60112, -0.80722}
Q[6]{-1.91242, -2.26874, -0.884759, -3.02291, -1.62146, -0.851319}
Q[6]{-1.91795, -2.27303, -0.889496, -3.01453, -1.6418, -0.895418}
Q[6]{-1.92347, -2.27732, -0.894233, -3.00615, -1.66214, -0.939517}
Q[6]{-1.929, -2.2816, -0.89897, -2.99778, -1.68248, -0.983616}
Q[6]{-1.93452, -2.28589, -0.903707, -2.9894, -1.70282, -1.02771}
Q[6]{-1.94005, -2.29018, -0.908444, -2.98102, -1.72317, -1.07181}
Q[6]{-1.94557, -2.29447, -0.913181, -2.97264, -1.74351, -1.11591}
Q[6]{-1.95109, -2.29875, -0.917918, -2.96426, -1.76385, -1.16001}
Q[6]{-1.95662, -2.30304, -0.922655, -2.95588, -1.78419, -1.20411}
Q[6]{-1.96214, -2.30733, -0.927392, -2.94751, -1.80453, -1.24821}
Q[6]{-1.96767, -2.31162, -0.932129, -2.93913, -1.82487, -1.29231}
......................................

Optimized Path
